id,text,source
1,"The tiger is the largest living cat species and a member of the genus Panthera. It is most recognisable for its dark vertical stripes on orange-brown fur with a lighter underside.","Wikipedia"
2,"The lion is a large cat of the genus Panthera native to Africa and India. It has a muscular, deep-chested body, short, rounded head, round ears, and a hairy tuft at the end of its tail.","Wikipedia"
3,"The elephant is the largest living land animal. Three species are currently recognised: the African bush elephant, the African forest elephant, and the Asian elephant.","Wikipedia"
4,"The giraffe is a large African hoofed mammal belonging to the genus Giraffa. It is the tallest living terrestrial animal and the largest ruminant on Earth.","Wikipedia"
5,"The zebra is a several species of African equids (horse family) united by their distinctive black and white striped coats. Their stripes come in different patterns, unique to each individual.","Wikipedia"
6,"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation.","Wikipedia"
7,"JavaScript, often abbreviated as JS, is a programming language that is one of the core technologies of the World Wide Web, alongside HTML and CSS.","Wikipedia"
8,"A relational database is a type of database that stores and provides access to data points that are related to one another.","Wikipedia"
9,"An algorithm is a finite sequence of well-defined instructions, typically used to solve a class of specific problems or to perform a computation.","Wikipedia"
10,"A data structure is a data organization, management, and storage format that is usually chosen for efficient access to data.","Wikipedia"
11,"Object-oriented programming (OOP) is a programming paradigm based on the concept of 'objects', which can contain data and code: data in the form of fields (often known as attributes or properties), and code, in the form of procedures (often known as methods).","Wikipedia"
12,"A function is a block of organized, reusable code that is used to perform a single, related action.","Wikipedia"
13,"A variable is a storage location, with an associated symbolic name (an identifier), which contains some known or unknown quantity of information referred to as a value.","Wikipedia"
14,"An API (Application Programming Interface) is a set of rules and protocols that allows different software applications to communicate with each other.","Wikipedia"
15,"A compiler is a special program that translates a programming language's source code into machine code, bytecode or another programming language.","Wikipedia"
16,"Debugging is the process of finding and resolving defects or problems within a computer program that prevent correct operation of computer software or a system.","Wikipedia"
17,"A version control system (VCS) is a software tool that helps software teams manage changes to source code over time.","Wikipedia"
,"Git is a distributed version control system that tracks changes in any set of computer files, usually used for coordinating work among programmers who are collaboratively developing source code during software development.","Wikipedia"
19,"The OSI model (Open Systems Interconnection model) is a conceptual framework used to understand network interactions in seven layers.","Wikipedia"
20,"TCP/IP is a suite of communication protocols used to interconnect network devices on the internet.","Wikipedia"
21,"HTTP (Hypertext Transfer Protocol) is an application protocol for distributed, collaborative, hypermedia information systems.","Wikipedia"
22,"REST (Representational State Transfer) is a software architectural style that defines a set of constraints to be used for creating Web services.","Wikipedia"
23,"GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.","Wikipedia"
24,"Docker is a set of platform as a service (PaaS) products that use OS-level virtualization to deliver software in packages called containers.","Wikipedia"
25,"Kubernetes is an open-source container orchestration system for automating software deployment, scaling, and management.","Wikipedia"
